Gen Number,ID,Fitness,Weights,Diversity
41,665,0.051942233672914555,"[0.21344843687678902, 0.6626455869969751, 0.5261221642577035, 0.5043226391438018, 0.139372386662032, 0.05714998713390751]",0.13679420856058547
42,691,0.2637520035736296,"[0.22828148303393822, 0.6878090368206988, 0.5249032007242486, 0.7240995154163476, 0.9640815598758656, 0.04798301090094567]",0.1638448015942304
42,642,0.22645680545174757,"[0.21340476692429078, 0.6688236566819341, 0.523955877768391, 0.5943055631930892, 0.9623729411995459, 0.05717817831603948]",0.1638448015942304
42,674,0.19155734632333832,"[0.2232661583639804, 0.6816395224849471, 0.5169111643823994, 0.6152168053122217, 0.963506338246894, 0.05108719171749963]",0.1638448015942304
42,679,0.1541055173098857,"[0.21717030243123933, 0.6737173471949488, 0.5212658802610958, 0.6022904429309601, 0.9628057246309065, 0.05485235782210404]",0.1638448015942304
42,670,0.13171378128062916,"[0.2134415171863394, 0.6636245285196991, 0.5257789069131535, 0.5942997546759996, 0.9623769727235504, 0.057154454147096245]",0.1638448015942304
42,680,0.11809065821486424,"[0.2151217484157455, 0.6716208183653795, 0.5039328579770119, 0.4384016466297276, 0.9625722330661268, 0.05612808593415951]",0.1638448015942304
42,687,0.08599822776987615,"[0.21378564254427285, 0.6699772309865784, 0.501803742239933, 0.4093947850912498, 0.9624189913427204, 0.05695505417411304]",0.1638448015942304
42,690,0.08345812305921463,"[0.22088577154283717, 0.6785459714130111, 0.5186116488429648, 0.6101691560571907, 0.963232753792699, 0.052557461335696706]",0.1638448015942304
42,685,0.07983027019680924,"[0.21341831192943228, 0.6669074195243403, 0.5246277896885366, 0.5943034223541004, 0.9623744270940763, 0.05716943432423095]",0.1638448015942304
42,688,0.07548338384220092,"[0.21348760864866906, 0.6631461703078465, 0.5280653145322454, 0.6126600583950917, 0.9623820289823748, 0.057124699756836345]",0.1638448015942304
42,664,0.07015683814713947,"[0.2129307416839968, 0.6689255895754622, 0.5004414378641204, 0.39083488545109607, 0.96232094036939, 0.057484185790740105]",0.1638448015942304
42,678,0.06657864207999381,"[0.21352518081348545, 0.6687977632587506, 0.4820940246334183, 0.6459920422269723, 0.962386150669566, 0.05710044500772771]",0.1638448015942304
42,689,0.06265326681375209,"[0.7053322324040219, 0.6703380791577035, 0.5234248586773702, 0.5943072551207658, 0.962371766881396, 0.0571850887851692]",0.1638448015942304
42,677,0.06161308780241046,"[0.2129307416839968, 0.6689255895754622, 0.5004414378641204, 0.39083488545109607, 0.9623209403693901, 0.057484185790740105]",0.1638448015942304
42,682,0.05834604818809979,"[-0.04977893729298383, 0.6843404867828046, 0.5154264797238156, 0.6196238831683546, 0.9637452034946452, 0.04980350651087733]",0.1638448015942304
42,684,0.056310554448454654,"[0.21290373993789782, 0.9158009656485641, 0.9467001107767765, 0.3800788748090824, 0.5829365414802519, 0.21939944159604488]",0.1638448015942304
